,message_idx,time,translated text
0,0.0,"""14:40""","decoy:안녕, 나는 매드스야  "
1,0.0,"""14:40""","Billy Joe:안녕, 자기야  "
2,0.0,"""14:41""",Billy Joe:일 거의 끝났어. 정말 기뻐  
3,0.0,"""14:41""",decoy:안녕 :) 그거 좋지?  
4,0.0,"""14:42""",Billy Joe:응  
5,0.0,"""14:43""","decoy:그래서 새로운 소식은 뭐야, 하하  "
6,0.0,"""14:43""",Billy Joe:아무것도 없어  
7,0.0,"""14:43""",Billy Joe:샤워할 때 만져봤어? 하하  
8,0.0,"""14:44""","decoy:아니, 빨리 해야 했어 하하  "
9,0.0,"""14:44""",decoy:잠깐만  
10,0.0,"""14:47""","decoy:미안, 엄마가 계속 나를 괴롭혀 하하  "
11,0.0,"""14:47""",Billy Joe:그거 안 좋네  
12,0.0,"""14:48""","decoy:응, 짜증나. 너는 엄마랑 잘 지내?  "
13,0.0,"""14:48""",Billy Joe:그럭저럭.. 그녀는 참견이 심해  
14,0.0,"""14:48""",decoy:그래도 하하  
15,0.0,"""14:49""",Billy Joe:응  
16,0.0,"""14:50""",decoy:너와 그녀만 있어?  
17,0.0,"""14:50""",Billy Joe:지금 뭐 하고 있어?  
18,0.0,"""14:51""",Billy Joe:응  
19,0.0,"""14:51""",decoy:나도 그래 :)  
20,0.0,"""14:51""",Billy Joe:그 기분 알아  
21,0.0,"""14:52""",decoy:나는 수업을 위해 신발을 사러 나갈 준비 중이야. 아마 수업 끝나고는 돌아오지 않을 거야  
22,0.0,"""14:52""","decoy:엄마가 지금 나를 괴롭히고 있는데, 돌아오면 전화해도 될까?  "
23,0.0,"""14:52""",decoy:대략 8시쯤 될 것 같아  
24,0.0,"""14:53""",Billy Joe:젠장  
25,0.0,"""14:53""",Billy Joe:샤워하고 나서 섹시한 팬티를 입었어?  
26,0.0,"""14:53""",decoy:엄마가 방에 있으면 빠르게 전화할 수 있을 것 같아  
27,0.0,"""14:53""",Billy Joe:우리 집은 휴대폰 신호가 안 좋아  
28,0.0,"""14:53""",decoy:그럴 수도 있겠네  
29,0.0,"""14:54""",decoy:정말?
30,0.0,"""14:54""",Billy Joe:나는 주립 숲 근처에 살아  
31,0.0,"""14:54""",decoy:그럼 낮에 항상 더 나은 거야?  
32,0.0,"""14:54""",Billy Joe:끔찍해  
33,0.0,"""14:54""",Billy Joe:응  
34,0.0,"""14:54""",decoy:야생 동물도 보니? 하하  
35,0.0,"""14:55""",Billy Joe:내일 나갈 수 있기를 바래  
36,0.0,"""14:55""",Billy Joe:응..야생 동물들  
37,0.0,"""14:56""","decoy:엄마가 집에 없는지 확인해야 하고, 좀 더 이야기할 수 있는 며칠을 갖고 싶어. 그래서 더 안전하게 느낄 수 있을 것 같아, 괜찮아?  "
38,0.0,"""14:56""",Billy Joe:좋아  
39,0.0,"""14:56""","decoy:너의 목소리도 듣고 싶어, 그래서 너가 할아버지 같은 사람은 아닌지 확인하고 싶어 하하  "
40,0.0,"""14:57""",decoy:너 화났어?  
41,0.0,"""14:57""",Billy Joe:할아버지?  
42,0.0,"""14:57""",Billy Joe:나는 늙지 않았어  
43,0.0,"""14:58""",Billy Joe:지금 한 분 정도 전화해줄 수 있으면 좋겠어  
44,0.0,"""14:58""","decoy:내가 말한 건, 젊고 매력적인 남자인 척하는 creepy한 60세 남자 같은 거야 하하  "
45,0.0,"""14:58""","Billy Joe:너의 사진 몇 장 보내줘, 알겠지?  "
46,0.0,"""14:58""",decoy:그럼 그 사람이 나를 진정시키는 무언가를 사용하고 트렁크에 던져버릴 거야  
47,0.0,"""14:58""",decoy:그럴 수 있으면 좋겠어  
48,0.0,"""14:59""",Billy Joe:세상에. 절대 안 돼..어쨌든 나는 공원까지 걸어가야 해  
49,0.0,"""14:59""",decoy:뭐라고???  
50,0.0,"""15:00""",Billy Joe:그곳에 배달 트럭을 가져갈 수 없어. 나는 맥도날드 근처에 주차해야 해  
51,0.0,"""15:00""",decoy:너의 트럭은 얼마나 커?  
52,0.0,"""15:00""",Billy Joe:나는 걸어갈 거야..그게 너를 더 안전하게 느끼게 할 거야  
53,0.0,"""15:01""",decoy:하하 너는 얼마나 빨리 달릴 수 있어?  
54,0.0,"""15:01""",Billy Joe:크고. 이런 크기의 트럭은 공원에 가져갈 수 없어.  
55,0.0,"""15:01""",Billy Joe:나는 달릴 수 있어..왜?  
56,0.0,"""15:02""",decoy:너가 미쳤을 경우를 대비해서 내가 도망가야 할 수도 있으니까 하하  
