,source,label,message_idx,author,time,text,translated text
0,PJ chats,1,0,decoy,14:40,Hey Its Mads,"decoy: 안녕, 나는 매즈야  "
1,PJ chats,1,0,Billy Joe,14:40,Hey babes,"Billy Joe: 안녕, 자기야  "
2,PJ chats,1,0,Billy Joe,14:41,Almost done with work. So glad,Billy Joe: 거의 일 끝나가. 정말 기뻐  
3,PJ chats,1,0,decoy,14:41,Hey:) that's good right?,decoy: 안녕 :) 그거 좋지?  
4,PJ chats,1,0,Billy Joe,14:42,Yea,Billy Joe: 응  
5,PJ chats,1,0,decoy,14:43,So what's new lol,"decoy: 그래서 새로운 소식은 뭐야, 하하  "
6,PJ chats,1,0,Billy Joe,14:43,Nothing,Billy Joe: 아무것도 없어  
7,PJ chats,1,0,Billy Joe,14:43,did u touch it in the shower. Lol,Billy Joe: 샤워할 때 만졌어? 하하  
8,PJ chats,1,0,decoy,14:44,No had to hurry up lol,"decoy: 아니, 빨리 해야 했어 하하  "
9,PJ chats,1,0,decoy,14:44,Hold on a min,decoy: 잠깐만  
10,PJ chats,1,0,decoy,14:47,Sorry my mom keeps bossing me around lol,"decoy: 미안, 엄마가 계속 나를 괴롭혀  "
11,PJ chats,1,0,Billy Joe,14:47,That sucks,Billy Joe: 그거 짜증나네  
12,PJ chats,1,0,decoy,14:48,Yeah it's annoying. Do u get along with your mom,"decoy: 응, 귀찮아. 너는 엄마랑 잘 지내?  "
13,PJ chats,1,0,Billy Joe,14:48,Kinda..she's nosy,Billy Joe: 그럭저럭.. 그녀는 참견이 심해  
14,PJ chats,1,0,decoy,14:48,Still lol,decoy: 여전히 하하  
15,PJ chats,1,0,Billy Joe,14:49,Yea,Billy Joe: 응  
16,PJ chats,1,0,decoy,14:50,Is it just u and her?,decoy: 너랑 그녀 둘만 있어?  
17,PJ chats,1,0,Billy Joe,14:50,Whatcha doing now,Billy Joe: 지금 뭐 하고 있어?  
18,PJ chats,1,0,Billy Joe,14:51,Yea,Billy Joe: 응  
19,PJ chats,1,0,decoy,14:51,Same here :),decoy: 나도 그래 :)  
20,PJ chats,1,0,Billy Joe,14:51,I know the feeling,Billy Joe: 그 기분 알아  
21,PJ chats,1,0,decoy,14:52,I am getting ready to run out to get my shoes for class. I prob won't be back until after class,decoy: 나는 수업을 위해 신발을 사러 나갈 준비 중이야. 아마 수업 끝나고나서야 돌아올 것 같아  
22,PJ chats,1,0,decoy,14:52,My mom is on my back right now could I call u when I get back,"decoy: 지금 엄마가 나를 괴롭히고 있는데, 돌아오면 전화해도 될까?  "
23,PJ chats,1,0,decoy,14:52,It would be like around 8 or so,decoy: 대략 8시쯤 될 것 같아  
24,PJ chats,1,0,Billy Joe,14:53,Damn,Billy Joe: 젠장  
25,PJ chats,1,0,Billy Joe,14:53,So did u put on some Hot thongs when u Got out of the shower,Billy Joe: 샤워하고 나서 핫한 끈 팬티 입었어?  
26,PJ chats,1,0,decoy,14:53,I think if she is in her room I could sneak a quick call,decoy: 그녀가 방에 있다면 빠르게 전화할 수 있을 것 같아  
27,PJ chats,1,0,Billy Joe,14:53,Cell service sucks at my house,Billy Joe: 우리 집은 휴대폰 신호가 안 좋아  
28,PJ chats,1,0,decoy,14:53,Maybe,decoy: 그럴 수도 있겠네  
29,PJ chats,1,0,decoy,14:54,It does ?,decoy: 정말 그래?  
30,PJ chats,1,0,Billy Joe,14:54,I live near the state forest,Billy Joe: 나는 주립 숲 근처에 살아  
31,PJ chats,1,0,decoy,14:54,So is daytime always better?,decoy: 그럼 낮에는 항상 더 나은 거야?  
32,PJ chats,1,0,Billy Joe,14:54,It's horrible,Billy Joe: 끔찍해  
33,PJ chats,1,0,Billy Joe,14:54,Yes,Billy Joe: 응  
34,PJ chats,1,0,decoy,14:54,Do u see wild animals lol,decoy: 야생 동물도 보니? 하하  
35,PJ chats,1,0,Billy Joe,14:54,Hope U can get out tomorrow,Billy Joe: 내일 나갈 수 있기를 바래  
36,PJ chats,1,0,Billy Joe,14:55,Yes..wild animal s,Billy Joe: 응.. 야생 동물들  
37,PJ chats,1,0,decoy,14:56,I need to make sure my mom isn't home at all and I want to just take a few days to talk more so I feel safer is that ok?,"decoy: 엄마가 집에 없다는 걸 확실히 해야 하고, 좀 더 이야기할 며칠을 갖고 싶어. 그래서 더 안전하게 느낄 수 있을 것 같아, 괜찮아?  "
38,PJ chats,1,0,Billy Joe,14:56,Ok,Billy Joe: 괜찮아  
39,PJ chats,1,0,decoy,14:56,I also want to hear your voice so I know u aren't like a grandpa or something lol,"decoy: 너의 목소리도 듣고 싶어서, 너가 할아버지 같은 사람 아니란 걸 알고 싶어 하하  "
40,PJ chats,1,0,decoy,14:57,R u mad?,decoy: 너 화났어?  
41,PJ chats,1,0,Billy Joe,14:57,Grandfather?,Billy Joe: 할아버지?  
42,PJ chats,1,0,Billy Joe,14:57,I'm not old,Billy Joe: 나는 늙지 않았어  
43,PJ chats,1,0,Billy Joe,14:58,Wish U could call me now for like a min,Billy Joe: 지금 한 분 정도 전화해줬으면 좋겠어  
44,PJ chats,1,0,decoy,14:58,I meant like some creepy 60 yr old pretending to be a young hot guy lol,"decoy: 내가 말한 건, 젊고 매력적인 남자인 척하는 creepy한 60세짜리 같은 사람 말이야 하하  "
45,PJ chats,1,0,Billy Joe,14:58,Send me a couple Pics of u ok,"Billy Joe: 나한테 사진 몇 장 보내줘, 알겠지?  "
46,PJ chats,1,0,decoy,14:58,Then he will use something to sedate me and throw me in the trunk,decoy: 그러면 그 사람이 나를 진정시키고 트렁크에 던져버릴 거야  
47,PJ chats,1,0,decoy,14:58,I wish I could,decoy: 전화하고 싶어  
48,PJ chats,1,0,Billy Joe,14:59,Omg. Never..I hve to walk to the park anyway,Billy Joe: 세상에. 절대.. 어쨌든 나는 공원까지 걸어가야 해  
49,PJ chats,1,0,decoy,14:59,What???,decoy: 뭐라고???  
50,PJ chats,1,0,Billy Joe,15:00,Can't take deliver trucks in there. I hve to like park near mc dounalds,Billy Joe: 그곳에 배달 트럭을 가져갈 수 없어. 나는 맥도날드 근처에 주차해야 해  
51,PJ chats,1,0,decoy,15:00,How big is your truck?,decoy: 너의 트럭은 얼마나 커?  
52,PJ chats,1,0,Billy Joe,15:00,I will be on foot..that should make u feel safeer,Billy Joe: 나는 걸어갈 거야.. 그게 너를 더 안전하게 느끼게 해줄 거야  
53,PJ chats,1,0,decoy,15:01,Lol how fast can u run,decoy: 하하 너는 얼마나 빨리 달릴 수 있어?  
54,PJ chats,1,0,Billy Joe,15:01,It's big. Can't bring trucks this size in the park.,Billy Joe: 커. 이런 크기의 트럭은 공원에 가져갈 수 없어.  
55,PJ chats,1,0,Billy Joe,15:01,I can run..y ?,Billy Joe: 나는 달릴 수 있어.. 왜?  
56,PJ chats,1,0,decoy,15:02,Incase u r crazy and I need to run lol,decoy: 만약 네가 미쳤다면 내가 도망쳐야 하니까 하하  
57,PJ chats,1,0,Billy Joe,15:02,That is y I wanted to see if u were allowed to walk to mc dounalds,Billy Joe: 그래서 내가 너가 맥도날드까지 걸어갈 수 있는지 확인하고 싶었던 거야  
58,PJ chats,1,0,decoy,15:02,So there is no way to call u tonight??,decoy: 그럼 오늘 밤 너에게 전화할 방법이 없는 거야??  
59,PJ chats,1,0,Billy Joe,15:03,I'm not crazy silly,"Billy Joe: 나는 미치지 않았어, 바보야  "
60,PJ chats,1,0,Billy Joe,15:03,Phone don't get out at my house. I swear.,Billy Joe: 우리 집에서는 전화가 잘 안 돼. 맹세해.  
61,PJ chats,1,0,decoy,15:03,If my mom isn't home I can walk where ever I want lol,decoy: 엄마가 집에 없으면 어디든지 걸어갈 수 있어 하하  
62,PJ chats,1,0,decoy,15:04,Ok what time u working tomorrow?,decoy: 그럼 내일 몇 시에 일해?  
63,PJ chats,1,0,Billy Joe,15:04,I know it sucks. I'm Soooo sorry. In July phone come is putting a cell tower there tho,Billy Joe: 그거 짜증나. 정말 미안해. 7월에 전화 회사가 그곳에 기지국을 세울 거야  
64,PJ chats,1,0,Billy Joe,15:04,6Am,Billy Joe: 오전 6시  
65,PJ chats,1,0,decoy,15:05,Oh Jeez,"decoy: 오, 제기랄  "
66,PJ chats,1,0,decoy,15:05,U want me to try to call tomorrow than,decoy: 그럼 내일 전화해보라고 할까?  
67,PJ chats,1,0,Billy Joe,15:05,Yeaaa,Billy Joe: 응  
68,PJ chats,1,0,Billy Joe,15:05,Yes,Billy Joe: 응  
69,PJ chats,1,0,Billy Joe,15:06,Damn I wanna see u..lol,"Billy Joe: 젠장, 너를 보고 싶어.. 하하  "
70,PJ chats,1,0,decoy,15:06,Ok. Lol. Can I text u later when my mom isn't around,decoy: 알겠어. 하하. 엄마가 없을 때 나중에 문자해도 될까?  
71,PJ chats,1,0,decoy,15:06,We can soon,decoy: 곧 만날 수 있을 거야  
72,PJ chats,1,0,decoy,15:07,U want me to send u a pic,decoy: 사진 보내줄까?  
73,PJ chats,1,0,Billy Joe,15:07,Well . Since I won't see u today me i will be home by 5,"Billy Joe: 음.. 오늘 너를 못 보니까, 나는 5시까지 집에 있을 거야  "
74,PJ chats,1,0,decoy,15:07,I have to from computer cause can't do from phone right now,decoy: 지금은 전화로 할 수 없어서 컴퓨터로 해야 해  
75,PJ chats,1,0,Billy Joe,15:07,yes....pic,Billy Joe: 응... 사진  
76,PJ chats,1,0,Billy Joe,15:07,Hummmm .ok,Billy Joe: 음.. 알겠어  
77,PJ chats,1,0,decoy,15:08,??,decoy: ??  
78,PJ chats,1,0,Billy Joe,15:08,That u can't Fr. Phone,Billy Joe: 네가 전화로 할 수 없다는 거야  
79,PJ chats,1,0,Billy Joe,15:08,Sucks,Billy Joe: 짜증나  
80,PJ chats,1,0,Billy Joe,15:09,Lol,Billy Joe: 하하  
81,PJ chats,1,0,decoy,15:09,Well normally I can lol,decoy: 보통은 할 수 있어 하하  
82,PJ chats,1,0,decoy,15:09,I have a smart phone,decoy: 나는 스마트폰이 있어  
83,PJ chats,1,0,Billy Joe,15:09,Y can't u,Billy Joe: 왜 못 해?  
84,PJ chats,1,0,Billy Joe,15:10,What's wrong wit phone,Billy Joe: 전화에 뭐가 문제야?  
85,PJ chats,1,0,decoy,15:10,Phone works fine,decoy: 전화는 잘 작동해  
86,PJ chats,1,0,decoy,15:11,My mom got pissed about something I did,decoy: 엄마가 내가 한 일 때문에 화가 나서  
87,PJ chats,1,0,decoy,15:12,And took away the cam somehow. I am supposed to get it back by this weekend,decoy: 카메라를 어떻게든 빼앗아갔어. 이번 주말까지 돌려받기로 되어 있어  
88,PJ chats,1,0,Billy Joe,15:12,But she stopped the pic text on ur cell,Billy Joe: 하지만 그녀가 네 휴대폰에서 사진 문자 전송을 막았구나  
89,PJ chats,1,0,Billy Joe,15:13,Ohhhh ok,"Billy Joe: 아, 알겠어  "
90,PJ chats,1,0,Billy Joe,15:13,Mmmmm...thong Pics..bent over in the mirror...,Billy Joe: 음... 끈 팬티 사진.. 거울에 비친 모습으로 구부린 거...  
91,PJ chats,1,0,Billy Joe,15:13,Or splits..lol,Billy Joe: 아니면 스플릿.. 하하  
92,PJ chats,1,0,decoy,15:13,I think I know how to make it work but worried she will find out and take the whole phone away,"decoy: 어떻게 작동시킬 수 있을 것 같은데, 그녀가 알게 되면 전화기를 아예 빼앗아갈까 걱정이야  "
93,PJ chats,1,0,Billy Joe,15:14,She won't...ur sneaky,Billy Joe: 그녀는 모를 거야... 너는 교활하잖아  
94,PJ chats,1,0,Billy Joe,15:15,Lol,Billy Joe: 하하  
95,PJ chats,1,0,decoy,15:15,Idk lol. Ok I am in car and I don't wanna text u with her here. So u can't even get texts later how about YIM,"decoy: 잘 모르겠어 하하. 지금 차에 있는데, 그녀가 여기 있어서 문자하고 싶지 않아. 그래서 나중에 문자도 못 받는다면 YIM은 어때?  "
96,PJ chats,1,0,Billy Joe,15:16,No net,Billy Joe: 인터넷이 없어  
97,PJ chats,1,0,Billy Joe,15:16,Soooooo sorry,Billy Joe: 정말 미안해  
98,PJ chats,1,0,decoy,15:17,It's fine:) umm how about I text u in the morning then,"decoy: 괜찮아 :) 음, 그럼 아침에 문자할게  "
99,PJ chats,1,0,Billy Joe,15:17,Looking forward to it.,Billy Joe: 기대하고 있어  
100,PJ chats,1,0,Billy Joe,15:17,Will miss U..lol,Billy Joe: 너를 그리울 거야.. 하하  
101,PJ chats,1,0,decoy,15:17,Ok:) it won't be 6 am lol a little later,decoy: 알겠어 :) 오전 6시는 아니고 하하 조금 더 늦게  
102,PJ chats,1,0,Billy Joe,15:18,Ok,Billy Joe: 알겠어  
